houseName,pricepernight,Location,Rating,photourl,description
Rustic Cabin,6971,Mount Abu,4.2,https://picsum.photos/seed/home63/800/600,Modern interiors with a touch of tradition.
Tranquil Retreat,6348,Gokarna,4.0,https://picsum.photos/seed/home64/800/600,Located in the heart of nature with serene views.
Sunny Haven,2507,Goa,4.2,https://picsum.photos/seed/home65/800/600,Located in the heart of nature with serene views.
Serene Bungalow,5414,Manali,3.9,https://picsum.photos/seed/home66/800/600,Spacious rooms with all essential facilities.
Tropical Cabin,3338,Alleppey,4.5,https://picsum.photos/seed/home67/800/600,Luxurious stay ideal for families and couples.
Rustic Villa,2941,Tirupati,4.7,https://picsum.photos/seed/home68/800/600,Spacious rooms with all essential facilities.
Grand Palace,5738,Munnar,3.9,https://picsum.photos/seed/home69/800/600,Luxurious stay ideal for families and couples.
Beachside Villa,6359,Ranchi,4.4,https://picsum.photos/seed/home70/800/600,Ideal for weekend getaways and long stays.
Royal Villa,3985,Kodaikanal,4.5,https://picsum.photos/seed/home71/800/600,Modern interiors with a touch of tradition.
Valley Apartment,4955,Puri,3.9,https://picsum.photos/seed/home72/800/600,Enjoy peaceful surroundings and warm hospitality.
Beachside Cabin,2545,Kochi,3.9,https://picsum.photos/seed/home73/800/600,Enjoy peaceful surroundings and warm hospitality.
Spacious Bungalow,4236,Hyderabad,4.0,https://picsum.photos/seed/home74/800/600,Spacious rooms with all essential facilities.
Peaceful Retreat,4676,Nagpur,4.4,https://picsum.photos/seed/home75/800/600,Located in the heart of nature with serene views.
Peaceful Homestay,4487,Hyderabad,4.6,https://picsum.photos/seed/home76/800/600,Enjoy peaceful surroundings and warm hospitality.
Beachside House,3201,Manali,3.9,https://picsum.photos/seed/home77/800/600,Ideal for weekend getaways and long stays.
Himalayan Retreat,6338,Kolkata,4.0,https://picsum.photos/seed/home78/800/600,Modern interiors with a touch of tradition.
Charming Haven,5172,Kodaikanal,4.0,https://picsum.photos/seed/home79/800/600,Enjoy peaceful surroundings and warm hospitality.
Mountain Bungalow,2999,Goa,4.6,https://picsum.photos/seed/home80/800/600,Ideal for weekend getaways and long stays.
Spacious Bungalow,6203,Kochi,4.7,https://picsum.photos/seed/home81/800/600,Modern interiors with a touch of tradition.
Beachside Palace,6062,Gurugram,4.4,https://picsum.photos/seed/home82/800/600,Enjoy peaceful surroundings and warm hospitality.
Tropical Bungalow,6062,Puri,4.3,https://picsum.photos/seed/home83/800/600,Spacious rooms with all essential facilities.
Modern Villa,4578,Shimla,4.6,https://picsum.photos/seed/home84/800/600,Modern interiors with a touch of tradition.
Cozy Haven,2570,Surat,4.6,https://picsum.photos/seed/home85/800/600,Located in the heart of nature with serene views.
Serene Bungalow,4318,Puri,4.2,https://picsum.photos/seed/home86/800/600,Located in the heart of nature with serene views.
Cozy Homestay,6184,Srinagar,4.3,https://picsum.photos/seed/home87/800/600,Ideal for weekend getaways and long stays.
Rustic Apartment,3968,Munnar,4.6,https://picsum.photos/seed/home88/800/600,Spacious rooms with all essential facilities.
Grand Cabin,5094,Jaipur,4.8,https://picsum.photos/seed/home89/800/600,Luxurious stay ideal for families and couples.
Beachside Resort,5566,Srinagar,4.8,https://picsum.photos/seed/home90/800/600,Spacious rooms with all essential facilities.
Modern Haven,2763,Coorg,4.7,https://picsum.photos/seed/home91/800/600,Modern interiors with a touch of tradition.
Royal Villa,6439,Dehradun,4.6,https://picsum.photos/seed/home92/800/600,Luxurious stay ideal for families and couples.
Grand Retreat,6885,Leh,4.8,https://picsum.photos/seed/home93/800/600,Luxurious stay ideal for families and couples.
Mountain Bungalow,5848,Noida,4.4,https://picsum.photos/seed/home94/800/600,Enjoy peaceful surroundings and warm hospitality.
Valley Palace,4977,Shimla,4.0,https://picsum.photos/seed/home95/800/600,Located in the heart of nature with serene views.
Luxury House,4277,Srinagar,4.5,https://picsum.photos/seed/home96/800/600,Enjoy peaceful surroundings and warm hospitality.
Charming House,2780,Bhopal,4.1,https://picsum.photos/seed/home97/800/600,Perfect stay with all modern amenities and scenic views.
Rustic House,2859,Srinagar,4.6,https://picsum.photos/seed/home98/800/600,Modern interiors with a touch of tradition.
Spacious Cabin,1920,Agra,4.4,https://picsum.photos/seed/home99/800/600,Spacious rooms with all essential facilities.
Modern Haven,4339,Coorg,4.3,https://picsum.photos/seed/home100/800/600,Located in the heart of nature with serene views.
